,Threshold,Feature,Direction,Alpha
0,0.060029999999999986,52.0,1.0,0.6781965717865092
1,0.20830000000000004,24.0,-1.0,0.6732671106310036
2,0.20000000000000007,15.0,1.0,0.46750605633471576
3,0.053000000000000005,52.0,-1.0,0.553249932465978
4,0.42840000000000006,44.0,-1.0,0.5927919599486111
5,0.3332,44.0,1.0,0.6736716120843749
6,0.32130000000000003,20.0,1.0,0.354460104343715
7,0.20000000000000007,15.0,1.0,0.29417336390068893
8,0.20000000000000007,15.0,-1.0,0.3753914827784286
9,0.07843,51.0,1.0,0.31645577332273017
10,0.05120000000000001,16.0,1.0,0.44654410354856877
11,0.07139999999999999,16.0,-1.0,0.47878206837755
12,0.20830000000000004,24.0,1.0,0.21181338046348913
13,0.33330000000000004,26.0,-1.0,0.2222901991775736
14,0.18180000000000002,19.0,1.0,0.2649448987840651
15,2.0349000000000004,20.0,-1.0,0.21369995096046948
16,0.051000000000000004,2.0,-1.0,0.1819558751145493
17,0.255,2.0,1.0,0.3070046778329782
18,0.27269999999999994,17.0,-1.0,0.17125560289366898
19,0.07270000000000001,6.0,1.0,0.206712775372036
20,0.4,15.0,-1.0,0.19067946007855105
21,0.029400000000000003,5.0,1.0,0.1591370235264046
22,0.33330000000000004,26.0,-1.0,0.18213202911478776
23,0.94116,51.0,1.0,0.18849553716115516
24,0.0788,0.0,-1.0,0.167621109122383
25,0.43620000000000003,6.0,1.0,0.1481194619123121
26,0.33330000000000004,26.0,-1.0,0.1495069265986041
27,0.046200000000000005,7.0,1.0,0.15497250785894306
28,0.4284,41.0,-1.0,0.12068846123959472
29,0.18180000000000002,19.0,1.0,0.15354449989465152
