,Threshold,Feature,Direction,Alpha
0,1.6120000000000005,3.0,1.0,6.206542217625824
1,1.4200000000000004,3.0,1.0,4.679645507163154
2,4.717000000000003,2.0,1.0,1.7339717661564662
3,3.200000000000001,1.0,-1.0,1.8018818755125345
4,1.6120000000000005,3.0,1.0,1.3232190229091583
5,4.245000000000003,2.0,1.0,1.2795144983394475
6,4.953000000000003,2.0,1.0,1.2440499899610067
7,3.008000000000001,1.0,-1.0,1.242540712080103
8,1.6120000000000005,3.0,1.0,1.2279640630439332
9,4.245000000000003,2.0,1.0,1.218938196874609
10,4.953000000000003,2.0,1.0,1.221602270979378
11,3.008000000000001,1.0,-1.0,1.203887315130934
12,1.6120000000000005,3.0,1.0,1.2177025688243845
13,4.245000000000003,2.0,1.0,1.1669893649763148
14,4.953000000000003,2.0,1.0,1.212598549374523
15,3.008000000000001,1.0,-1.0,1.0711300896869482
16,1.6120000000000005,3.0,1.0,1.1986345857391643
17,1.4200000000000004,3.0,1.0,0.9061417740442849
18,4.953000000000003,2.0,1.0,1.1652398464594083
19,6.207999999999977,0.0,-1.0,1.0866714851020154
20,1.5160000000000005,3.0,1.0,0.8687904495112103
21,4.717000000000003,2.0,1.0,0.834008543478344
22,3.008000000000001,1.0,-1.0,0.9117976738649451
23,1.6120000000000005,3.0,1.0,1.0208815083538678
24,4.245000000000003,2.0,1.0,1.0685363389398788
25,4.953000000000003,2.0,1.0,1.1449728312064
26,2.6000000000000005,1.0,-1.0,1.0441644752162655
27,1.5160000000000005,3.0,1.0,0.920682184295343
28,4.717000000000003,2.0,1.0,0.820955200369725
29,3.008000000000001,1.0,-1.0,0.9841202474790819
30,1.6120000000000005,3.0,1.0,1.012348671430688
31,1.4200000000000004,3.0,1.0,1.0262567307375399
32,4.953000000000003,2.0,1.0,1.1468301797107647
33,6.207999999999977,0.0,-1.0,0.9644668359602843
34,1.5160000000000005,3.0,1.0,0.9430106321285308
35,4.717000000000003,2.0,1.0,0.8159159771427354
36,3.008000000000001,1.0,-1.0,0.9769198853865186
37,1.6120000000000005,3.0,1.0,1.010424940923329
38,4.245000000000003,2.0,1.0,0.9890265113507909
39,4.953000000000003,2.0,1.0,1.145020174477906
40,2.5040000000000004,1.0,-1.0,0.9759990752655795
41,1.5160000000000005,3.0,1.0,0.9622539469161664
42,4.717000000000003,2.0,1.0,0.8160196766425016
43,3.008000000000001,1.0,-1.0,0.9974047974712212
44,1.6120000000000005,3.0,1.0,0.9937567044848685
45,1.4200000000000004,3.0,1.0,0.9875450190001617
46,4.953000000000003,2.0,1.0,1.1445931063055192
47,2.5040000000000004,1.0,-1.0,0.962037222352281
48,1.5160000000000005,3.0,1.0,0.9695099139732889
49,4.717000000000003,2.0,1.0,0.8157770870775785
50,3.200000000000001,1.0,-1.0,0.997518543866054
51,1.6120000000000005,3.0,1.0,0.9928258306024352
52,4.245000000000003,2.0,1.0,0.9684429033176091
53,4.953000000000003,2.0,1.0,1.1410739743724603
54,6.207999999999977,0.0,-1.0,0.9654696363533424
55,1.5160000000000005,3.0,1.0,0.9767542902779014
56,4.953000000000003,2.0,1.0,0.8165052644749777
57,3.008000000000001,1.0,-1.0,0.9901551364518459
58,1.6120000000000005,3.0,1.0,0.98042614316751
59,1.4200000000000004,3.0,1.0,0.9772963835388175
