,Threshold,Feature,Direction,Alpha
0,11.04,60.0,1.0,1.1820612700339201
1,5.12,36.0,-1.0,1.4573602505744718
2,1.1199999999999999,33.0,-1.0,1.1109570262680477
3,13.12,49.0,1.0,1.2207477635563153
4,12.16,18.0,-1.0,1.0539958773280649
5,10.08,1.0,1.0,0.6770223492298068
6,5.12,25.0,-1.0,0.8143104261029597
7,3.04,61.0,1.0,0.6164661849995595
8,9.12,9.0,1.0,0.8076611643538044
9,3.04,59.0,1.0,0.5996910153182883
10,0.15999999999999998,43.0,-1.0,0.6672140355608401
11,14.08,51.0,1.0,0.6570424726509277
12,12.16,50.0,1.0,0.5115873206452238
13,7.04,59.0,1.0,0.5278830411866156
14,0.15999999999999998,43.0,-1.0,0.4906587537143175
15,9.12,26.0,-1.0,0.5380563679221033
16,10.08,50.0,1.0,0.5154366949000214
17,1.0499999999999998,8.0,1.0,0.49224188843565203
18,3.04,60.0,1.0,0.6103660233607525
19,14.08,20.0,1.0,0.5690014921931587
20,0.14,37.0,-1.0,0.6076081982281698
21,14.08,48.0,1.0,0.48617285460498566
22,12.16,17.0,-1.0,0.43896372405661327
23,14.08,9.0,1.0,0.42425500482745754
24,15.04,50.0,1.0,0.5221625488311138
25,0.15999999999999998,39.0,-1.0,0.4492654602930471
26,0.15999999999999998,50.0,-1.0,0.5778432401616767
27,0.15999999999999998,52.0,1.0,0.4827098738230759
28,0.15999999999999998,43.0,-1.0,0.5084037942141278
29,1.1199999999999999,60.0,1.0,0.4206587727370589
30,10.08,48.0,1.0,0.42006734499125903
31,9.12,26.0,-1.0,0.3603066507421048
32,13.12,1.0,1.0,0.44465625920150764
33,4.16,44.0,-1.0,0.4280132693410046
34,1.1199999999999999,59.0,1.0,0.4300075171236532
35,3.04,47.0,1.0,0.5331030101593949
36,13.12,49.0,1.0,0.3983405319126974
37,12.16,17.0,-1.0,0.40576232402502505
38,14.08,9.0,1.0,0.35373850187686035
39,12.16,28.0,1.0,0.41429150923575303
40,15.04,50.0,1.0,0.3287948127434
41,0.14,37.0,-1.0,0.37604672369079745
42,3.04,42.0,-1.0,0.3737279043753338
43,5.12,26.0,-1.0,0.38212037712622443
44,4.16,4.0,-1.0,0.4119090307451725
45,0.15999999999999998,43.0,-1.0,0.33538081372077155
46,0.15999999999999998,60.0,1.0,0.3164409057305832
47,12.16,59.0,-1.0,0.3489099381286057
48,8.16,35.0,-1.0,0.36254937897560074
49,11.04,50.0,1.0,0.31236019766286705
50,9.12,34.0,-1.0,0.3461101672048496
51,10.08,41.0,1.0,0.38244215331273207
52,11.04,19.0,1.0,0.36345824030259494
53,0.15999999999999998,25.0,-1.0,0.29519148890052044
54,2.08,56.0,-1.0,0.3256022464845793
55,8.16,43.0,-1.0,0.4527098340254853
56,4.16,51.0,1.0,0.3680415199249382
57,0.15999999999999998,50.0,-1.0,0.33095926455939123
58,3.04,44.0,-1.0,0.32384944947006356
59,0.15999999999999998,34.0,-1.0,0.3509957893081125
