,Threshold,Feature,Direction,Alpha
0,2.05,7.0,1.0,1.104747334964017
1,3.04,40.0,1.0,0.5092581900025112
2,12.16,26.0,1.0,0.4796585231054037
3,3.04,36.0,-1.0,0.4405610495232205
4,9.12,12.0,1.0,0.42787486260189206
5,7.04,10.0,-1.0,0.3371264602517589
6,13.12,34.0,1.0,0.3540222122366017
7,2.08,16.0,1.0,0.3265149812346733
8,8.16,40.0,1.0,0.28236112034367067
9,11.04,11.0,-1.0,0.28590381324824604
10,10.08,27.0,1.0,0.2949419610805973
11,0.03,15.0,1.0,0.35577809684050893
12,2.1000000000000005,37.0,-1.0,0.2946902213776719
13,9.12,49.0,-1.0,0.29501884617628615
14,9.12,17.0,1.0,0.27357308789967877
15,7.04,21.0,1.0,0.2529611210178951
16,6.08,48.0,1.0,0.24761664455080118
17,6.08,1.0,-1.0,0.2168432756545083
18,11.04,16.0,1.0,0.23740386900380175
19,5.12,26.0,1.0,0.2573632468504043
20,10.08,20.0,1.0,0.20370728442830338
21,13.12,52.0,1.0,0.20036655932560268
22,14.08,10.0,-1.0,0.24634048601104774
23,9.12,40.0,1.0,0.21811371797005472
24,0.14,32.0,-1.0,0.18094861537954582
25,0.03,15.0,1.0,0.22895472852851054
26,9.12,1.0,-1.0,0.2183062815880885
27,15.04,9.0,1.0,0.1677405736485547
28,0.14,37.0,-1.0,0.1591190890364179
29,2.05,7.0,1.0,0.16975696625384104
30,15.04,19.0,-1.0,0.20680539148646532
31,10.08,26.0,1.0,0.16471590268773845
32,0.03,15.0,1.0,0.19692975410642577
33,1.1199999999999999,40.0,1.0,0.2405833708836116
34,15.04,35.0,1.0,0.18106332166572264
35,13.12,10.0,-1.0,0.1517238181401758
36,13.12,51.0,1.0,0.15269937348162582
37,5.12,17.0,1.0,0.15483232024035065
38,0.03,15.0,1.0,0.17447207515742075
39,2.1000000000000005,37.0,-1.0,0.1843180311079573
40,9.12,49.0,-1.0,0.15259881954057822
41,7.04,11.0,1.0,0.12196075927105131
42,6.08,21.0,1.0,0.16262220406670075
43,8.16,57.0,1.0,0.169354640983777
44,2.05,7.0,1.0,0.15033941103294415
45,0.15999999999999998,40.0,1.0,0.17780547206711536
46,9.12,16.0,1.0,0.13775793501134623
47,8.16,1.0,-1.0,0.1571961585232689
48,2.08,47.0,1.0,0.13328580790249545
49,15.04,33.0,-1.0,0.16925411086055803
50,2.05,7.0,1.0,0.15646571903504938
51,7.04,35.0,1.0,0.17296008085460424
52,15.04,27.0,-1.0,0.14726827181128635
53,9.12,26.0,1.0,0.13888881317746854
54,2.05,7.0,1.0,0.19373703180596372
55,3.04,20.0,1.0,0.1931637523439456
56,7.04,40.0,1.0,0.1479152516263215
57,6.08,52.0,1.0,0.15174914793315808
58,6.08,59.0,-1.0,0.1590952331122376
59,15.04,19.0,-1.0,0.13933452336353402
