,Threshold,Feature,Direction,Alpha
0,15.04,18.0,1.0,1.2101840643252146
1,1.1199999999999999,57.0,-1.0,0.9267175316452324
2,12.16,19.0,1.0,0.9309667571298735
3,11.04,50.0,1.0,0.7567914778384605
4,15.04,26.0,1.0,0.522188793956039
5,10.08,9.0,-1.0,0.5113064798392919
6,4.16,33.0,-1.0,0.5837598903347238
7,13.12,27.0,1.0,0.41908418311665346
8,11.04,27.0,-1.0,0.517762157229167
9,4.16,29.0,-1.0,0.37181386591391913
10,0.15999999999999998,17.0,-1.0,0.42186451508645273
11,10.08,48.0,-1.0,0.38237598787237537
12,0.15999999999999998,36.0,-1.0,0.356319585722923
13,0.07,0.0,-1.0,0.3552400049802131
14,15.04,10.0,1.0,0.3257392260172986
15,15.04,12.0,1.0,0.40412957834116764
16,7.04,58.0,1.0,0.31587264674005905
17,14.08,11.0,1.0,0.37814162917081307
18,1.1199999999999999,10.0,-1.0,0.4321498091252801
19,0.15999999999999998,44.0,-1.0,0.3543467253287247
20,7.04,9.0,-1.0,0.3310158996480672
21,2.08,4.0,-1.0,0.34232488354260326
22,5.12,29.0,-1.0,0.3815423767192344
23,0.15999999999999998,49.0,-1.0,0.4923851916946241
24,15.04,27.0,1.0,0.3126912569729301
25,6.08,4.0,-1.0,0.27580797491559284
26,10.08,28.0,1.0,0.25894650970722327
27,0.14,37.0,-1.0,0.26076559479196215
28,1.0499999999999998,24.0,1.0,0.2623981406229524
29,0.14999999999999997,8.0,-1.0,0.26195888019666375
30,15.04,41.0,1.0,0.2798893703690282
31,2.08,40.0,-1.0,0.2821761802401355
32,3.04,25.0,1.0,0.24621062277542963
33,1.1199999999999999,12.0,-1.0,0.24695690763412234
34,15.04,19.0,1.0,0.3032710894225305
35,1.1199999999999999,52.0,-1.0,0.24336205203411487
36,1.1199999999999999,60.0,1.0,0.23849933895711176
37,2.1,8.0,-1.0,0.20390833807888842
38,4.16,3.0,-1.0,0.20969381674923834
39,0.15999999999999998,4.0,1.0,0.2330673343902606
40,1.1199999999999999,10.0,-1.0,0.22978800559261847
41,7.04,58.0,1.0,0.3161200681196209
42,0.15999999999999998,51.0,-1.0,0.24598725273509667
43,6.08,29.0,-1.0,0.22257605969424019
44,2.08,40.0,-1.0,0.19471844591807902
45,15.04,41.0,1.0,0.26688653238110915
46,4.16,2.0,-1.0,0.20586128409539423
47,2.08,27.0,1.0,0.2574089565162322
48,2.08,11.0,-1.0,0.20895673327589562
49,2.1,8.0,-1.0,0.21367752578482452
50,0.15999999999999998,17.0,-1.0,0.19062759305612337
51,6.08,4.0,-1.0,0.2657514685528538
52,10.08,12.0,1.0,0.24506922813121973
53,1.1199999999999999,17.0,-1.0,0.21969758797648292
54,4.16,39.0,-1.0,0.30713225837372904
55,2.08,20.0,-1.0,0.2607807578534578
56,13.12,35.0,1.0,0.206878313214231
57,5.12,34.0,-1.0,0.19220506638850296
58,3.04,25.0,1.0,0.2508179761359585
59,3.04,51.0,-1.0,0.21340687116048393
