,Threshold,Feature,Direction,Alpha
0,101.0,0.0,1.0,1.0762164095667415
1,39.0,10.0,-1.0,0.9786420053555823
2,14.0,13.0,-1.0,0.8490672802652903
3,26.0,8.0,-1.0,0.5270539727097021
4,4.0,15.0,-1.0,0.5837583016171728
5,2.0,10.0,-1.0,0.448791058503048
6,100.0,3.0,1.0,0.38129598569828277
7,1.0,8.0,-1.0,0.45599485785829896
8,81.0,14.0,1.0,0.3928145152113065
9,1.0,0.0,-1.0,0.42742710510970977
10,24.0,15.0,-1.0,0.3315006281181948
11,10.0,8.0,-1.0,0.3259743064503288
12,64.0,6.0,1.0,0.33257934262175476
13,27.0,11.0,-1.0,0.3352659852416203
14,51.0,12.0,1.0,0.36088205133944
15,46.0,8.0,-1.0,0.28344456341415547
16,74.0,6.0,1.0,0.3309345157327459
17,62.0,14.0,1.0,0.26289324455512175
18,1.0,12.0,-1.0,0.288973001266553
19,28.0,13.0,-1.0,0.2852167414392494
20,35.0,8.0,-1.0,0.2515486340413567
21,72.0,4.0,1.0,0.26119722723380595
22,27.0,2.0,-1.0,0.2863247160349667
23,93.0,3.0,1.0,0.2870787959245958
24,1.0,2.0,-1.0,0.23901609196098128
25,55.0,14.0,1.0,0.24722488602197046
26,57.0,12.0,1.0,0.24005818400620615
27,20.0,15.0,-1.0,0.2304913480061155
28,19.0,8.0,-1.0,0.24271328035034542
29,51.0,6.0,1.0,0.2415094110905029
30,1.0,13.0,-1.0,0.20740452073351595
31,51.0,8.0,-1.0,0.2545977712827207
32,1.0,15.0,-1.0,0.20722452059179272
33,31.0,11.0,-1.0,0.2150253686521993
34,101.0,0.0,1.0,0.2742164633729334
35,47.0,10.0,-1.0,0.22660072577052026
36,18.0,9.0,1.0,0.20985401107552112
37,78.0,5.0,-1.0,0.24766954919622175
38,88.0,3.0,1.0,0.1831437478096116
39,89.0,6.0,1.0,0.2434199443512201
40,55.0,14.0,1.0,0.20309882306098917
41,101.0,0.0,1.0,0.19274285500012073
42,20.0,15.0,-1.0,0.22498165208118492
43,42.0,2.0,-1.0,0.20518698137570607
44,63.0,4.0,1.0,0.2000962887712178
45,19.0,8.0,-1.0,0.2341701019563923
46,31.0,11.0,-1.0,0.21591361599205455
47,101.0,0.0,1.0,0.23310702715035966
48,88.0,3.0,1.0,0.20277722160966363
49,34.0,2.0,-1.0,0.18369100800798044
50,79.0,4.0,1.0,0.1635714913352213
51,65.0,2.0,-1.0,0.17794674733542556
52,81.0,5.0,-1.0,0.18338041200863509
53,10.0,9.0,1.0,0.18109346089078956
54,1.0,10.0,-1.0,0.17707774587195457
55,51.0,12.0,1.0,0.17053851771021408
56,47.0,14.0,1.0,0.16665960353519776
57,101.0,0.0,1.0,0.2271260579094216
58,31.0,11.0,-1.0,0.22493335995981967
59,95.0,2.0,1.0,0.18291418438035892
