,Threshold,Feature,Direction,Alpha
0,101.0,0.0,1.0,1.0762164095667415
1,39.0,14.0,1.0,1.3136387016889282
2,14.0,13.0,-1.0,0.8490672802652903
3,12.0,13.0,1.0,0.6055498775224046
4,4.0,15.0,-1.0,0.5837583016171728
5,38.0,8.0,-1.0,0.4812767187602318
6,100.0,3.0,1.0,0.38129598569828277
7,1.0,8.0,-1.0,0.45599485785829896
8,49.0,4.0,1.0,0.485192053209342
9,1.0,0.0,-1.0,0.42742710510970977
10,64.0,6.0,1.0,0.33929900572078436
11,49.0,8.0,-1.0,0.34088077244136666
12,64.0,6.0,1.0,0.33257934262175476
13,27.0,11.0,-1.0,0.3352659852416203
14,21.0,8.0,-1.0,0.496388066763988
15,26.0,13.0,-1.0,0.30908699355374286
16,100.0,6.0,1.0,0.3839529604700081
17,69.0,2.0,-1.0,0.28925226459924036
18,1.0,12.0,-1.0,0.288973001266553
19,24.0,15.0,-1.0,0.38578232466851947
20,75.0,5.0,-1.0,0.2634527850479125
21,72.0,4.0,1.0,0.26119722723380595
22,99.0,14.0,1.0,0.3075189965078678
23,37.0,2.0,-1.0,0.30655450128186795
24,95.0,3.0,1.0,0.24445341832114922
25,92.0,4.0,1.0,0.297513069555723
26,57.0,12.0,1.0,0.24005818400620615
27,29.0,13.0,-1.0,0.3296684102920764
28,19.0,8.0,-1.0,0.24271328035034542
29,49.0,6.0,1.0,0.25720876320341096
30,12.0,10.0,-1.0,0.24341912451240763
31,1.0,13.0,-1.0,0.26911953162705343
32,44.0,8.0,-1.0,0.24820572429579804
33,10.0,9.0,1.0,0.2671045401514893
34,101.0,0.0,1.0,0.2742164633729334
35,50.0,10.0,-1.0,0.2725440789664689
36,89.0,6.0,1.0,0.24989016593157895
37,24.0,15.0,-1.0,0.28522499735668705
38,9.0,8.0,-1.0,0.2612441119112162
39,45.0,6.0,1.0,0.25227977286563674
40,50.0,7.0,-1.0,0.23207686453605322
41,69.0,2.0,-1.0,0.22086181141631392
42,100.0,5.0,1.0,0.22741686428837657
43,95.0,3.0,1.0,0.25296986991707854
44,100.0,6.0,1.0,0.21777573343598933
45,19.0,8.0,-1.0,0.2341701019563923
46,24.0,15.0,-1.0,0.3465649687474463
47,101.0,0.0,1.0,0.23310702715035966
48,45.0,6.0,1.0,0.2623149029926234
49,58.0,7.0,-1.0,0.20233727471645593
50,13.0,9.0,1.0,0.23138644301843234
51,8.0,8.0,-1.0,0.19941974750399005
52,88.0,3.0,1.0,0.23614939964519582
53,37.0,2.0,-1.0,0.2376255869270545
54,1.0,10.0,-1.0,0.17707774587195457
55,11.0,11.0,1.0,0.17985723699572595
56,27.0,11.0,-1.0,0.17960869662330378
57,59.0,1.0,-1.0,0.2333897067502001
58,31.0,11.0,-1.0,0.22493335995981967
59,89.0,6.0,1.0,0.20663571946149867
