,Threshold,Feature,Direction,Alpha
0,101.0,0.0,1.0,1.0783666079907412
1,85.0,3.0,1.0,1.4501402111598924
2,22.0,15.0,1.0,0.834469743427754
3,1.0,0.0,-1.0,0.9464661086024448
4,85.0,7.0,1.0,0.830533254408037
5,21.0,13.0,1.0,0.8415420056303327
6,66.0,10.0,-1.0,0.8535322873717881
7,96.0,5.0,1.0,0.6580642722822744
8,77.0,1.0,1.0,0.6007500373268357
9,1.0,11.0,-1.0,0.42870161179250976
10,88.0,7.0,1.0,0.6722154243919737
11,50.0,6.0,1.0,0.6449938836633751
12,38.0,7.0,-1.0,0.5267813744942247
13,87.0,9.0,1.0,0.5402386003272344
14,69.0,15.0,-1.0,0.9179659596032502
15,19.0,15.0,1.0,0.5804415946652515
16,5.0,12.0,-1.0,0.44875709328421276
17,32.0,0.0,-1.0,0.5819198658498214
18,80.0,1.0,1.0,0.47196430287977065
19,97.0,2.0,1.0,0.4040151582279903
20,96.0,3.0,1.0,0.42480058711004726
21,98.0,3.0,1.0,0.39312096725262147
22,34.0,2.0,-1.0,0.4941591267618592
23,97.0,1.0,1.0,0.394255849830614
24,69.0,15.0,-1.0,0.48756203370040263
25,30.0,15.0,1.0,0.4800007174857121
26,20.0,0.0,-1.0,0.4882551102542124
27,100.0,7.0,1.0,0.5600978653083675
28,24.0,9.0,-1.0,0.3767248647672222
29,56.0,8.0,1.0,0.48004818989568765
30,16.0,14.0,1.0,0.3633994319257911
31,6.0,9.0,-1.0,0.37307626750502393
32,59.0,15.0,-1.0,0.3907427549560289
33,1.0,8.0,-1.0,0.45823090373659187
34,42.0,14.0,1.0,0.3517500731166094
35,58.0,14.0,-1.0,0.4537525008142003
36,74.0,7.0,1.0,0.42577335503798125
37,69.0,7.0,-1.0,0.4272607337583712
38,80.0,3.0,1.0,0.31529360865653777
39,4.0,10.0,-1.0,0.4020001443115991
40,36.0,0.0,-1.0,0.33516187499263583
41,100.0,6.0,1.0,0.34783239245253983
42,82.0,7.0,1.0,0.37742238201884665
43,19.0,15.0,1.0,0.5427008856706091
44,41.0,12.0,-1.0,0.35602838238559514
45,80.0,1.0,1.0,0.36907436814711536
46,1.0,9.0,-1.0,0.3883959604925288
47,49.0,15.0,-1.0,0.48372147643835156
48,98.0,12.0,1.0,0.3366997810389101
49,36.0,0.0,-1.0,0.3705234691657846
50,97.0,2.0,1.0,0.3199578308996932
51,84.0,3.0,1.0,0.31532634880140836
52,16.0,13.0,1.0,0.27753821760713787
53,101.0,0.0,1.0,0.36221838097388187
54,36.0,0.0,-1.0,0.2929513610097524
55,93.0,1.0,1.0,0.27558653253768983
56,91.0,3.0,1.0,0.28138642859091006
57,20.0,2.0,-1.0,0.33649235458726234
58,69.0,15.0,-1.0,0.2774506330550966
59,97.0,2.0,1.0,0.3695203154631364
