,Threshold,Feature,Direction,Alpha
0,0.060029999999999986,52.0,1.0,0.6781965717865092
1,0.4444,20.0,1.0,0.45245907463196
2,0.20000000000000007,24.0,-1.0,0.408367892412222
3,0.07270000000000001,6.0,1.0,0.43091295699677873
4,0.33330000000000004,26.0,-1.0,0.3263341162345113
5,0.32477999999999996,51.0,1.0,0.41873622437121316
6,0.42840000000000006,44.0,-1.0,0.25785163798833816
7,0.20000000000000007,15.0,1.0,0.29417336390068893
8,159.40000000000003,56.0,1.0,0.21439877400924984
9,0.06889999999999999,36.0,-1.0,0.2903836754506715
10,0.4000000000000001,4.0,1.0,0.17682390775139173
11,0.33330000000000004,20.0,-1.0,0.1989103821661966
12,0.22049999999999997,45.0,-1.0,0.16447819347347667
13,0.1111,7.0,1.0,0.20084842174895642
14,0.20000000000000007,24.0,-1.0,0.12736459294689895
15,7.66,54.0,1.0,0.1594186218336373
16,0.33330000000000004,26.0,-1.0,0.15718110213107755
17,0.29250000000000004,23.0,1.0,0.15057813475352763
18,0.4284,41.0,-1.0,0.13136783287162393
19,0.2725,22.0,1.0,0.13626938882115092
20,0.22049999999999997,45.0,-1.0,0.12151349106651052
21,317.8,56.0,1.0,0.10818515475140765
22,1.2000000000000002,24.0,-1.0,0.10637459534043399
23,0.36350000000000005,6.0,1.0,0.12755725159213488
24,0.33330000000000004,26.0,-1.0,0.11482114485755819
25,0.28559999999999997,16.0,1.0,0.11681484670929411
26,0.1818,17.0,-1.0,0.11131093927489145
27,0.7272000000000001,9.0,1.0,0.09295574808084778
28,0.06889999999999999,36.0,-1.0,0.10408680390139295
29,0.10000000000000003,13.0,1.0,0.10062196371381037
30,0.4284,41.0,-1.0,0.10796193749142419
31,0.9000000000000001,4.0,1.0,0.1110770742935742
32,1.3538,11.0,-1.0,0.09697222279282179
33,0.1666,27.0,1.0,0.08961423108204922
34,0.33330000000000004,26.0,-1.0,0.09212790403407084
35,7.66,54.0,1.0,0.09805222940432005
36,1.2000000000000002,24.0,-1.0,0.0935668006369973
37,0.294,5.0,1.0,0.09588493640730221
38,0.060029999999999986,52.0,-1.0,0.08817830527603826
39,0.8000000000000002,15.0,1.0,0.07317909989016333
40,0.4284,41.0,-1.0,0.08080583657464872
41,0.23070000000000004,35.0,1.0,0.09244916552235977
42,0.20000000000000007,43.0,-1.0,0.08410002503505393
43,0.9743400000000001,51.0,1.0,0.0871607821852255
44,0.19999999999999998,10.0,-1.0,0.08231186683536847
45,0.36350000000000005,6.0,1.0,0.07991874809156593
46,0.33330000000000004,26.0,-1.0,0.08347298640797314
47,0.38999999999999996,23.0,1.0,0.0871115109711915
48,1.2000000000000002,24.0,-1.0,0.08055557692615518
49,476.2,56.0,1.0,0.08761418059054583
50,0.3178,2.0,-1.0,0.08021877199688482
51,3.0,18.0,1.0,0.06298327151056171
52,0.22049999999999997,45.0,-1.0,0.0673543394004416
53,0.07139999999999999,16.0,1.0,0.07469702694945035
54,0.20000000000000007,24.0,-1.0,0.06966165805904938
55,0.2725,22.0,1.0,0.07588035451391563
56,0.4284,41.0,-1.0,0.07904897858365076
57,0.0877,48.0,1.0,0.08115889979589946
58,0.48760000000000003,49.0,-1.0,0.07339700145860364
59,0.1666,27.0,1.0,0.08007482716410735
