,Threshold,Feature,Direction,Alpha
0,0.060029999999999986,52.0,1.0,0.6781965717865092
1,0.20830000000000004,24.0,-1.0,0.6536398784157678
2,0.20000000000000007,15.0,1.0,0.47196472232242764
3,0.07270000000000001,6.0,1.0,0.43091295699677873
4,0.42840000000000006,44.0,-1.0,0.5902388537470382
5,0.32477999999999996,51.0,1.0,0.41873622437121316
6,0.33330000000000004,26.0,-1.0,0.32843297973834124
7,0.20000000000000007,15.0,1.0,0.29417336390068893
8,0.20000000000000007,15.0,-1.0,0.28532826608377565
9,0.06889999999999999,36.0,-1.0,0.2903836754506715
10,0.05120000000000001,16.0,1.0,0.4524485513455464
11,0.33330000000000004,20.0,-1.0,0.1989103821661966
12,0.8888,20.0,1.0,0.29494733849062144
13,0.8819999999999999,45.0,-1.0,0.24647592912415411
14,0.4998,4.0,1.0,0.22257627142140318
15,7.66,54.0,1.0,0.1594186218336373
16,0.4284,41.0,-1.0,0.28322610859263186
17,0.4444,9.0,1.0,0.16636842265054025
18,0.20400000000000001,2.0,-1.0,0.16067096435618664
19,0.2725,22.0,1.0,0.13626938882115092
20,0.22049999999999997,45.0,-1.0,0.1946300633358035
21,0.09519999999999998,1.0,1.0,0.12477132642947844
22,1.3842000000000003,11.0,-1.0,0.14056471083084393
23,0.09090000000000001,27.0,1.0,0.13842174818534506
24,0.49979999999999997,25.0,-1.0,0.1342644616693799
25,0.125,23.0,1.0,0.14927679383483577
26,0.27269999999999994,17.0,-1.0,0.1337459642311656
27,0.1111,7.0,1.0,0.1201288399703834
28,0.33330000000000004,26.0,-1.0,0.13671461410138874
29,0.7644,5.0,1.0,0.14447525189873053
30,0.0505,36.0,-1.0,0.1373631182767614
31,0.18008999999999997,52.0,1.0,0.11898994956263534
32,0.49979999999999997,25.0,-1.0,0.11203552185209598
33,159.40000000000003,56.0,1.0,0.12148237429487047
34,1.1423999999999999,18.0,-1.0,0.10419380119733053
35,0.33330000000000004,20.0,1.0,0.12683797608568143
36,1.2000000000000002,24.0,-1.0,0.0935668006369973
37,0.9995999999999999,4.0,1.0,0.12991097424958145
38,0.33330000000000004,26.0,-1.0,0.10772366208301046
39,0.8231999999999999,5.0,1.0,0.11852410837587782
40,0.4284,41.0,-1.0,0.11262632526185336
41,0.09090000000000001,27.0,1.0,0.11294657262726844
42,0.0505,36.0,-1.0,0.10146744533388675
43,3.5410999999999997,24.0,1.0,0.10442139170235393
44,0.14279999999999998,28.0,-1.0,0.10790714822123348
45,2.9987999999999997,18.0,1.0,0.10978858654267573
46,0.4284,18.0,-1.0,0.09902776550548921
47,0.04759999999999999,34.0,-1.0,0.09005175417438546
48,0.15380000000000002,35.0,1.0,0.10035238925849903
49,0.33330000000000004,26.0,-1.0,0.09022013166287163
50,0.18180000000000002,19.0,1.0,0.101568087875703
51,0.49979999999999997,25.0,-1.0,0.09408114422321255
52,0.7644,5.0,1.0,0.09594225568875053
53,2.3070000000000004,11.0,-1.0,0.09329267249999477
54,0.18008999999999997,52.0,1.0,0.09319078679246294
55,0.16650000000000004,12.0,-1.0,0.08879827997032085
56,0.125,23.0,1.0,0.08159211663384588
57,0.0877,48.0,1.0,0.08115889979589946
58,0.33330000000000004,26.0,-1.0,0.14441630438190528
59,0.38079999999999997,29.0,1.0,0.08434498880363252
